Tweet,Polarity
"RT @theintercept: The 15 activists who locked themselves around a deportation charter flight at London’s Stansted Airport, successfully sto…",Positive
"@SaharaReporters @HQNigerianArmy If terrorism last for more than 24hours,the government is involved...Sanni Abacha… https://t.co/6eHrOKyYKw",Positive
"RT @OtagoGrad: Is Trudeau's Foreign Minister Secretary a Hamas backer? 

Alghabra was the head of the radical Canadian Arab Federation (CAF…",Negative
"RT @LMonsterReacts: Every time I listen to ARTPOP in full, I honestly can’t help but take 5 mins in silence to wonder how on earth did the…",Positive
RT @suyatasatanADAM: Education wipes out terrorism... Just as PakTurk Schools have protected thousands of Pakistani children and youth agai…,Positive
RT @CSIS: The number of terrorist attacks by far-right perpetrators doubled between 2016 &amp; 2017 in the United States. Here is a map of ever…,Positive
"RT @TalatHussain12: 16 Dec the day we lost East Pakistan, the day we lost our children to terrorism. 2 monumental tragedies that taught us…",Positive
"RT @OtagoGrad: Christie Blatchford: Liberals have a high tolerance level for convicted Sikh terrorists

#terrorism
https://t.co/CbLVgnx4U2",Positive
RT @DuruPelit: Education wipes out terrorism.. Just as PakTurk Schools have protected thousands of Pakistani children and youth against neg…,Positive
"RT @OtagoGrad: The Current Iran Regime Is the World’s Leading State Sponsor of Terrorism.

https://t.co/9maRcreeCY 
#Iran",Positive
"RT @omriceren: It has to do with how they keep burning embassies, taking hostages, exporting terrorism, seizing Arab capitals, proliferatin…",Positive
"RT @AsfandyarKWali: Top terrorists are still present in Punjab province, where they collect funds from the platform of banned sectarian out…",Positive
RT @JoyceWhiteVance: @harrylitman Exactly. Cyber is the new front for terrorism &amp; we are overdue for an all of government effort that recog…,Positive
RT @harrylitman: Comparable in important ways to state-sponsored terrorism. The disinformation side particularly pernicious. Flat out assau…,Positive
"For Solid info on terrorism in Canada, I follow both Phil Gurski (@borealissaves) &amp;Tom Quiggin (@TomTSEC &amp;… https://t.co/BPPOk1AlzJ",Positive
RT @harezmi00: Education wipes out terrorism... Just as PakTurk Schools have protected thousands of Pakistani children and youth against ne…,Positive
"Make no mistake, this IS radical Islamic terrorism.... https://t.co/8zw7l44GeZ",Positive
"RT @ippatel: Fauzia &amp; Naflisa, 2 sisters &amp; daughters of Mohammad Kunhi from Kannur, Kerala have joined ISIS to become whore. Their Shauhars…",Positive
@PChidambaram_IN So both going to open borders to give entry to cross border terrorism.,Positive
"RT @ToomeyWright: The Left: Morrison's decision to recognise Jerusalem as the capital of Israel will anger Muslims, cause them to do acts o…",Negative
"RT @7Dnews: Iran Opposition: Missile Tests Provoke the World
#Iran #Terrorism

https://t.co/FcVRfTcBdO https://t.co/gG6qmFcXd0",Positive
RT @harrylitman: Comparable in important ways to state-sponsored terrorism. The disinformation side particularly pernicious. Flat out assau…,Positive
"RT @omriceren: It has to do with how they keep burning embassies, taking hostages, exporting terrorism, seizing Arab capitals, proliferatin…",Positive
"@muzah858 @AlArabiya_Eng The religion that has caused terrorism in the world, congrats, you should be so proud.",Positive
@IlhanMN The root cause of domestic terrorism are the Democratic Party and the liberal agenda.  Remove those and wi… https://t.co/6Rh0mpVDkS,Positive
"RT @sahouraxo: For the first time in over 7 years, the resilient Syrian residents of Syria’s Damascus can celebrate Christmas in their capi…",Positive
RT @TalbertSwan: Two white men &amp; a white woman were arrested in Toledo for plotting mass terrorist attacks with AK-47s &amp; pipe bombs last we…,Positive
@cjwerleman Condemn for once those who are responsible for it. If you are not a paid clown by pakistan army and rea… https://t.co/zT5L7fR2by,Positive
"RT @theintercept: The 15 activists who locked themselves around a deportation charter flight at London’s Stansted Airport, successfully sto…",Positive
A Polish man who fought with radical Islamists in Strasbourg during the attack on the Christmas market just passed… https://t.co/vY4QBSIp3Z,Positive
RT @TondarCanada: Iranian Communities in 42 Cities Hold Joint Conference to Condmn #Iran Regime’s Terrorism &amp; Human Rights Abuses https://t…,Positive
RT @harrylitman: Comparable in important ways to state-sponsored terrorism. The disinformation side particularly pernicious. Flat out assau…,Positive
RT @harrylitman: Comparable in important ways to state-sponsored terrorism. The disinformation side particularly pernicious. Flat out assau…,Positive
"RT @PamelaGeller: COWARDS: Spineless, gutless Jewish Agency program bans travel to Judea, Samaria, parts of Jerusalem @MasaIsrael: Pathetic…",Positive
"RT @305local: Once again what people are failing to understand the alliance between Trump, MBS &amp; GCC coalition is we are all fighting terro…",Positive
RT @JoyceWhiteVance: @harrylitman Exactly. Cyber is the new front for terrorism &amp; we are overdue for an all of government effort that recog…,Positive
@SirJadeja @ImranKhanPTI Imran Khan cry Pak is victim of terrorism but has no guts to speak against biggest terrori… https://t.co/v28QJyjtf3,Negative
"RT @pal_resi: Resistance is Not Terrorism. 
#Hamas31
#WhatsHamas 
#Gaza
#Palestine https://t.co/VfO2ewoLy1",Positive
"RT @BasedPoland: An Italian MEP from #Salvini's Lega Party, slams the EU Parliament &amp; especially #France &amp; #Macron for their poor policy wh…",Negative
"RT @HarveyStaub1: “The debit cards used by migrants are said to be funded by the EU, U.N. and Soros ; raising questions whether member stat…",Positive
"RT @HeshmatAlavi: Top:
A school in the Netherlands

Bottom:
A school in Sistan &amp; Baluchistan Province of southeast #Iran

Reminder:
Iran ha…",Positive
RT @JoyceWhiteVance: @harrylitman Exactly. Cyber is the new front for terrorism &amp; we are overdue for an all of government effort that recog…,Positive
RT @jdgreenblatt45: Disgraceful that Hamas videos glorify drive-by shootings &amp; other terrorism including one that killed Amiad Yisrael - a…,Negative
RT @JoyceWhiteVance: @harrylitman Exactly. Cyber is the new front for terrorism &amp; we are overdue for an all of government effort that recog…,Positive
RT @TondarCanada: 👉Iranian Communities Joint Conference Calls For Firm Action Against #Iran Regime’s Terrorism &amp; Human Rights Abuses https:…,Negative
"RT @BasedPoland: An Italian MEP from #Salvini's Lega Party, slams the EU Parliament &amp; especially #France &amp; #Macron for their poor policy wh…",Negative
